"TIME","GEO","UNIT","PURPOSE","DURATION","PARTNER","Value","Flag and Footnotes"
"2014","Iceland","Thousand euro","Total","1 night or over","Domestic",":",""
"2014","Norway","Thousand euro","Total","1 night or over","Domestic",":",""
"2014","Switzerland","Thousand euro","Total","1 night or over","Domestic","2,132,662.13",""
"2015","Belgium","Thousand euro","Total","1 night or over","Domestic","640,393.97",""
"2015","Bulgaria","Thousand euro","Total","1 night or over","Domestic","308,219.56",""
"2015","Czechia","Thousand euro","Total","1 night or over","Domestic","1,596,318.36",""
"2015","Denmark","Thousand euro","Total","1 night or over","Domestic","5,142,329.76",""
"2015","Germany (until 1990 former territory of the FRG)","Thousand euro","Total","1 night or over","Domestic","44,019,452.13",""
"2015","Estonia","Thousand euro","Total","1 night or over","Domestic","218,240.93",""
"2015","Ireland","Thousand euro","Total","1 night or over","Domestic","1,369,762.98",""
"2015","Greece","Thousand euro","Total","1 night or over","Domestic","1,333,465.09",""
"2015","Spain","Thousand euro","Total","1 night or over","Domestic","21,131,006.14","b"
"2015","France","Thousand euro","Total","1 night or over","Domestic","47,203,917.45",""
"2015","Croatia","Thousand euro","Total","1 night or over","Domestic","653,787.46",""
"2015","Italy","Thousand euro","Total","1 night or over","Domestic","11,974,482.03",""
"2015","Cyprus","Thousand euro","Total","1 night or over","Domestic","150,654.56",""
"2015","Latvia","Thousand euro","Total","1 night or over","Domestic","119,097.94",""
"2015","Lithuania","Thousand euro","Total","1 night or over","Domestic","161,914.77",""
"2015","Luxembourg","Thousand euro","Total","1 night or over","Domestic","12,893.89",""
"2015","Hungary","Thousand euro","Total","1 night or over","Domestic","850,212.46",""
"2015","Malta","Thousand euro","Total","1 night or over","Domestic","31,564.97",""
"2015","Netherlands","Thousand euro","Total","1 night or over","Domestic","3,122,419.17",""
"2015","Austria","Thousand euro","Total","1 night or over","Domestic","3,965,372.53",""
"2015","Poland","Thousand euro","Total","1 night or over","Domestic","4,588,531.82",""
"2015","Portugal","Thousand euro","Total","1 night or over","Domestic","1,584,500.96",""
"2015","Romania","Thousand euro","Total","1 night or over","Domestic","1,582,134.34",""
"2015","Slovenia","Thousand euro","Total","1 night or over","Domestic","169,454.63",""
"2015","Slovakia","Thousand euro","Total","1 night or over","Domestic","731,627.63",""
"2015","Finland","Thousand euro","Total","1 night or over","Domestic","5,540,250.16",""
"2015","Sweden","Thousand euro","Total","1 night or over","Domestic","4,850,235.13",""
"2015","United Kingdom","Thousand euro","Total","1 night or over","Domestic",":",""
"2015","Iceland","Thousand euro","Total","1 night or over","Domestic",":",""
"2015","Norway","Thousand euro","Total","1 night or over","Domestic",":",""
"2015","Switzerland","Thousand euro","Total","1 night or over","Domestic","2,129,772.45",""
"2016","Belgium","Thousand euro","Total","1 night or over","Domestic","677,097.58",""
"2016","Bulgaria","Thousand euro","Total","1 night or over","Domestic","354,179.68",""
"2016","Czechia","Thousand euro","Total","1 night or over","Domestic","1,847,399.61",""
"2016","Denmark","Thousand euro","Total","1 night or over","Domestic","5,170,719.72",""
"2016","Germany (until 1990 former territory of the FRG)","Thousand euro","Total","1 night or over","Domestic","42,946,496.92",""
"2016","Estonia","Thousand euro","Total","1 night or over","Domestic","249,275.86",""
"2016","Ireland","Thousand euro","Total","1 night or over","Domestic","1,465,682.77",""
"2016","Greece","Thousand euro","Total","1 night or over","Domestic","1,366,244.48",""
"2016","Spain","Thousand euro","Total","1 night or over","Domestic","24,025,356.51",""
"2016","France","Thousand euro","Total","1 night or over","Domestic","47,231,356.47",""
"2016","Croatia","Thousand euro","Total","1 night or over","Domestic","515,870.79",""
"2016","Italy","Thousand euro","Total","1 night or over","Domestic","14,103,059.65",""
"2016","Cyprus","Thousand euro","Total","1 night or over","Domestic","166,880.2",""
"2016","Latvia","Thousand euro","Total","1 night or over","Domestic","111,323.03",""
"2016","Lithuania","Thousand euro","Total","1 night or over","Domestic","171,528.67",""
"2016","Luxembourg","Thousand euro","Total","1 night or over","Domestic","10,352.71",""
"2016","Hungary","Thousand euro","Total","1 night or over","Domestic","848,790.52",""
"2016","Malta","Thousand euro","Total","1 night or over","Domestic","39,576.06",""
"2016","Netherlands","Thousand euro","Total","1 night or over","Domestic","3,449,245.26",""
"2016","Austria","Thousand euro","Total","1 night or over","Domestic","4,481,011.83",""
"2016","Poland","Thousand euro","Total","1 night or over","Domestic","5,195,686.96",""
"2016","Portugal","Thousand euro","Total","1 night or over","Domestic","1,525,812.09",""
"2016","Romania","Thousand euro","Total","1 night or over","Domestic","1,767,687.01",""
"2016","Slovenia","Thousand euro","Total","1 night or over","Domestic","195,213.18",""
"2016","Slovakia","Thousand euro","Total","1 night or over","Domestic","865,252.26",""
"2016","Finland","Thousand euro","Total","1 night or over","Domestic","5,621,271.69",""
"2016","Sweden","Thousand euro","Total","1 night or over","Domestic","5,444,757.93",""
"2016","United Kingdom","Thousand euro","Total","1 night or over","Domestic",":",""
"2016","Iceland","Thousand euro","Total","1 night or over","Domestic",":",""
