"TIME","GEO","UNIT","DURATION","PARTNER","AGE","Value","Flag and Footnotes"
"2012","Switzerland","Number","1 night or over","Domestic","From 45 to 54 years","151,286","u"
"2012","Switzerland","Number","1 night or over","Domestic","From 45 to 64 years","250,101","u"
"2012","Switzerland","Number","1 night or over","Domestic","From 55 to 64 years","98,815","u"
"2012","Switzerland","Number","1 night or over","Domestic","65 years or over","185,576","u"
"2012","Montenegro","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Montenegro","Number","1 night or over","Domestic","From 15 to 24 years",":",""
"2012","Montenegro","Number","1 night or over","Domestic","From 25 to 34 years",":",""
"2012","Montenegro","Number","1 night or over","Domestic","From 25 to 44 years",":",""
"2012","Montenegro","Number","1 night or over","Domestic","From 35 to 44 years",":",""
"2012","Montenegro","Number","1 night or over","Domestic","From 45 to 54 years",":",""
"2012","Montenegro","Number","1 night or over","Domestic","From 45 to 64 years",":",""
"2012","Montenegro","Number","1 night or over","Domestic","From 55 to 64 years",":",""
"2012","Montenegro","Number","1 night or over","Domestic","65 years or over",":",""
"2013","Belgium","Number","1 night or over","Domestic","Less than 15 years",":",""
"2013","Belgium","Number","1 night or over","Domestic","From 15 to 24 years","37,795",""
"2013","Belgium","Number","1 night or over","Domestic","From 25 to 34 years","113,536",""
"2013","Belgium","Number","1 night or over","Domestic","From 25 to 44 years","186,145",""
"2013","Belgium","Number","1 night or over","Domestic","From 35 to 44 years","72,609",""
"2013","Belgium","Number","1 night or over","Domestic","From 45 to 54 years","64,674",""
"2013","Belgium","Number","1 night or over","Domestic","From 45 to 64 years","168,864",""
"2013","Belgium","Number","1 night or over","Domestic","From 55 to 64 years","104,190",""
"2013","Belgium","Number","1 night or over","Domestic","65 years or over","97,135",""
"2013","Bulgaria","Number","1 night or over","Domestic","Less than 15 years",":",""
"2013","Bulgaria","Number","1 night or over","Domestic","From 15 to 24 years","215,482",""
"2013","Bulgaria","Number","1 night or over","Domestic","From 25 to 34 years","219,248",""
"2013","Bulgaria","Number","1 night or over","Domestic","From 25 to 44 years","505,230",""
"2013","Bulgaria","Number","1 night or over","Domestic","From 35 to 44 years","285,982",""
"2013","Bulgaria","Number","1 night or over","Domestic","From 45 to 54 years","224,476",""
"2013","Bulgaria","Number","1 night or over","Domestic","From 45 to 64 years","364,604",""
"2013","Bulgaria","Number","1 night or over","Domestic","From 55 to 64 years","140,128",""
